Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,demand_multiplier,supply_multiplier,adjusted_ride_cost,profit_percentage
48,19,Suburban,Gold,72,3.81,Night,1,65,235.6581337,1.2,2.0,565.57952088,140.0
56,13,Rural,Regular,36,4.81,Evening,0,162,406.5574981,1.4,2.923076923076923,1663.7583768399998,309.23076923076917
72,33,Rural,Gold,66,4.39,Morning,1,30,182.4744271,1.8,1.1515151515151516,378.21972162545455,107.27272727272725
97,75,Urban,Silver,76,4.7,Night,0,158,652.6172973,1.1975308641975309,0.5066666666666667,625.2234848207407,-4.197530864197534
62,33,Suburban,Regular,39,3.91,Evening,1,129,403.2270984,1.55,1.1515151515151516,719.699275629091,78.4848484848485
57,38,Suburban,Silver,54,4.1,Night,1,131,537.7848595,1.425,1.0,766.3434247875001,42.50000000000001
25,7,Suburban,Silver,13,3.99,Morning,1,81,286.1314526,0.625,1.5714285714285714,359.70811183999996,25.714285714285705
75,56,Suburban,Gold,94,4.79,Evening,1,153,485.0546633,1.875,0.6785714285714286,727.5819949500001,50.000000000000014
39,9,Urban,Gold,39,4.64,Afternoon,1,48,171.0859835,0.975,1.2222222222222223,203.87746367083332,19.16666666666666
35,24,Suburban,Gold,73,3.76,Evening,1,105,485.8784537,0.875,1.5833333333333333,673.1441077302082,38.54166666666664
68,32,Suburban,Regular,34,3.58,Morning,0,77,294.7328865,1.7,1.1875,594.992014621875,101.875
96,43,Rural,Silver,97,3.68,Morning,1,91,392.8387204,1.1851851851851851,0.8837209302325582,411.4486511683032,4.73729543496985
28,11,Suburban,Gold,52,4.33,Afternoon,1,94,456.1809468,0.7,1.0,364.94475744000005,-19.999999999999993
25,15,Rural,Gold,65,4.88,Evening,1,101,502.5293208,0.625,2.533333333333333,1018.4594234880001,102.66666666666669
28,6,Suburban,Regular,2,4.29,Morning,0,89,244.2176617,0.7,1.8333333333333333,358.18590382666673,46.66666666666669
73,17,Rural,Regular,14,4.81,Evening,1,170,634.7265312,1.825,2.235294117647059,2589.310878748235,307.94117647058823
36,18,Urban,Silver,88,3.73,Night,1,92,345.4067683,0.9,2.111111111111111,656.2728597700001,90.00000000000001
56,10,Urban,Silver,55,4.5,Night,0,45,151.1521296,1.4,1.1,232.774279584,54.0
97,81,Suburban,Regular,52,4.56,Evening,0,125,530.7599939,1.1975308641975309,0.4691358024691358,508.4811793412346,-4.197530864197528
63,9,Rural,Regular,89,3.87,Afternoon,1,166,482.8501642,1.575,1.2222222222222223,929.486566085,92.50000000000001
78,33,Urban,Silver,35,4.46,Morning,1,116,355.9595075,1.95,1.1515151515151516,799.2908941136363,124.54545454545456
29,10,Suburban,Regular,25,3.77,Afternoon,0,91,303.9609626,0.725,1.1,267.48564708800006,-11.999999999999982
73,33,Suburban,Silver,60,3.88,Night,1,161,514.8771742,1.825,1.1515151515151516,1082.0221827506061,110.15151515151516
94,29,Urban,Regular,67,3.59,Evening,1,96,361.132355,1.1604938271604939,1.3103448275862069,549.1548625202214,52.064708386547466
54,28,Suburban,Silver,83,4.49,Night,0,32,80.26246462,1.35,1.3571428571428572,147.0523012502143,83.21428571428572
67,6,Rural,Gold,15,3.53,Night,0,123,420.6239113,1.675,1.8333333333333333,1291.6659276170833,207.08333333333337
23,8,Urban,Silver,27,4.73,Afternoon,0,117,520.8926706,0.575,1.375,572.98193766,10.0
70,14,Urban,Silver,16,4.3,Morning,0,53,183.075791,1.75,2.7142857142857144,869.6100072500001,375.00000000000006
20,10,Rural,Silver,70,4.92,Evening,0,65,190.1374636,0.5,1.1,167.32096796800002,-11.999999999999986
95,84,Suburban,Gold,18,3.86,Afternoon,1,112,522.3021029,1.1728395061728396,0.4523809523809524,490.0612323506174,-6.172839506172824
43,16,Urban,Silver,40,4.89,Night,1,106,410.6863449,1.075,2.375,1048.5335743228125,155.3125
97,55,Suburban,Silver,94,4.62,Evening,1,150,584.9958711,1.1975308641975309,0.6909090909090909,560.4404888562964,-4.197530864197523
32,20,Rural,Silver,44,3.55,Night,0,68,301.6226264,0.8,1.9,458.466392128,52.0
95,25,Suburban,Regular,72,4.16,Morning,1,128,413.587084,1.1728395061728396,1.52,737.3083324641976,78.27160493827164
47,15,Urban,Gold,14,4.84,Night,0,89,273.1181046,1.175,2.533333333333333,812.9815580259999,197.66666666666669
25,11,Rural,Silver,33,3.85,Night,0,94,247.1745627,0.625,1.0,197.73965016,-20.0
37,22,Rural,Regular,76,4.72,Afternoon,0,69,213.4432508,0.925,1.7272727272727273,341.0241029827273,59.7727272727273
59,39,Suburban,Gold,49,3.78,Morning,1,98,295.7943802,1.475,0.9743589743589743,425.10961564641025,43.71794871794872
42,20,Urban,Silver,88,4.64,Night,1,29,145.0698092,1.05,1.9,289.414269354,99.49999999999999
53,11,Rural,Regular,2,3.5,Afternoon,1,81,297.0186264,1.325,1.0,393.54967998,32.49999999999999
79,64,Rural,Regular,91,4.57,Night,0,164,666.6870291,1.975,0.59375,1053.365505978,58.00000000000001
59,23,Urban,Gold,41,4.97,Evening,1,91,449.5456339,1.475,1.6521739130434783,1095.5231643519564,143.69565217391303
40,29,Urban,Regular,72,4.3,Afternoon,0,147,624.98601,1.0,1.3103448275862069,818.9471855172413,31.03448275862069
76,40,Suburban,Silver,77,4.17,Morning,0,28,96.03520852,1.9,0.95,173.34355137859998,80.49999999999999
41,26,Urban,Regular,96,3.91,Night,0,169,637.7593916,1.025,1.4615384615384615,955.4126270315382,49.807692307692285
83,14,Urban,Regular,80,4.77,Night,1,64,295.588711,1.0246913580246915,2.7142857142857144,822.1223937336861,178.1305114638448
44,17,Rural,Regular,15,4.0,Evening,0,98,353.3385451,1.1,2.235294117647059,868.79712854,145.8823529411765
91,73,Urban,Gold,61,4.39,Night,0,15,62.25429042,1.123456790123457,0.5205479452054794,55.95200422933334,-10.12345679012344
54,16,Suburban,Regular,8,4.5,Afternoon,1,67,266.0685899,1.35,2.375,853.0824163668751,220.62500000000003
59,37,Rural,Silver,86,4.67,Night,1,95,340.1282671,1.475,1.027027027027027,515.2483613771622,51.486486486486484
72,43,Suburban,Gold,28,4.87,Afternoon,0,132,443.2581554,1.8,0.8837209302325582,705.0897169618605,59.06976744186046
47,9,Rural,Gold,49,4.44,Evening,0,96,265.0552744,1.175,1.2222222222222223,380.64882462444444,43.61111111111112
32,22,Rural,Silver,49,4.65,Night,0,60,221.4343855,0.8,1.7272727272727273,305.98205996363635,38.18181818181818
45,13,Rural,Regular,96,4.84,Night,0,112,393.2308288,1.125,2.923076923076923,1293.1244562461538,228.84615384615387
72,45,Urban,Silver,82,4.42,Night,1,40,151.5804041,1.8,0.8444444444444444,230.402214232,51.99999999999999
56,15,Urban,Gold,34,4.72,Night,1,78,313.9950046,1.4,2.533333333333333,1113.6356163146665,254.6666666666666
42,22,Rural,Silver,67,3.81,Afternoon,1,82,366.1515261,1.05,1.7272727272727273,664.0657223359092,81.36363636363639
52,14,Suburban,Silver,87,3.54,Afternoon,1,98,425.9735688,1.3,2.7142857142857144,1503.0781641942858,252.85714285714283
81,23,Urban,Gold,39,4.3,Evening,0,143,359.053128,2.025,1.6521739130434783,1201.2668782434782,234.56521739130434
77,25,Rural,Regular,70,4.27,Afternoon,1,52,260.3441798,1.925,1.52,761.7670700948,192.60000000000002
27,6,Urban,Gold,2,4.42,Night,0,86,320.3017092,0.675,1.8333333333333333,469.77584016000003,46.66666666666667
74,34,Rural,Regular,18,4.66,Morning,1,140,454.4921215,1.85,1.1176470588235294,939.7292982779412,106.76470588235296
92,69,Urban,Silver,88,4.69,Afternoon,0,18,45.1150237,1.1358024691358024,0.5507246376811594,40.9934042508642,-9.135802469135795
77,34,Rural,Gold,33,4.13,Night,1,48,223.6621143,1.925,1.1176470588235294,481.2024606189706,115.1470588235294
66,6,Rural,Regular,23,4.2,Evening,0,45,173.1577543,1.65,1.8333333333333333,523.8022067575,202.50000000000003
77,39,Urban,Regular,23,4.29,Morning,0,167,592.2404996,1.925,0.9743589743589743,1110.8305780958974,87.56410256410255
35,16,Urban,Regular,31,4.75,Afternoon,1,113,379.3078104,0.875,2.375,788.2490434875,107.8125
48,38,Rural,Gold,40,3.7,Evening,1,80,360.7111703,1.2,1.0,432.85340435999996,19.99999999999999
61,18,Rural,Gold,84,3.93,Evening,1,58,203.4926184,1.525,2.111111111111111,655.1331797933334,221.9444444444445
71,21,Suburban,Silver,82,4.88,Afternoon,1,126,553.5451308,1.775,1.8095238095238095,1777.9342415457143,221.1904761904762
95,7,Rural,Gold,40,4.68,Evening,0,95,283.4664425,1.1728395061728396,1.5714285714285714,522.4381524029983,84.30335097001765
76,44,Suburban,Gold,20,3.56,Afternoon,1,105,435.1453451,1.9,0.8636363636363636,714.0339526413636,64.0909090909091
32,13,Suburban,Regular,21,4.64,Afternoon,0,156,685.7681265,0.8,2.923076923076923,1603.642388123077,133.84615384615384
49,30,Rural,Silver,57,4.83,Evening,0,154,630.8608869,1.225,1.2666666666666666,978.8858095065,55.16666666666667
38,17,Urban,Silver,92,4.41,Afternoon,1,138,546.1568748,0.95,2.235294117647059,1159.780187075294,112.35294117647057
92,35,Suburban,Regular,46,4.72,Morning,0,45,115.3570025,1.1358024691358024,1.0857142857142856,142.2532912663139,23.315696649029967
40,29,Suburban,Silver,26,4.26,Night,0,152,404.0498951,1.0,1.3103448275862069,529.4446901310345,31.03448275862068
55,42,Suburban,Silver,24,4.49,Afternoon,0,45,156.0383299,1.375,0.9047619047619048,194.11911279226192,24.404761904761905
58,34,Rural,Gold,19,4.55,Morning,1,131,501.2629551,1.45,1.1176470588235294,812.3408478238235,62.05882352941177
34,5,Urban,Regular,26,4.85,Evening,1,152,562.4369765,0.85,2.2,1051.757146055,87.0
70,47,Suburban,Silver,3,3.66,Morning,1,53,216.8024751,1.75,0.8085106382978723,306.75243817340424,41.489361702127646
51,24,Rural,Gold,25,4.68,Afternoon,1,16,120.0906902,1.275,1.5833333333333333,242.43308084124996,101.87499999999999
88,56,Rural,Regular,11,4.36,Afternoon,0,60,221.1576533,1.0864197530864197,0.6785714285714286,192.2160344730864,-13.086419753086421
25,8,Suburban,Silver,83,3.53,Evening,0,121,492.7012709,0.625,1.375,541.97139799,10.000000000000004
34,19,Rural,Regular,51,4.2,Night,1,166,754.23448,0.85,2.0,1282.198616,70.0
40,15,Urban,Regular,90,3.62,Night,1,42,211.5277288,1.0,2.533333333333333,535.8702462933334,153.33333333333337
26,7,Suburban,Gold,58,4.91,Afternoon,0,161,460.7592754,0.65,1.5714285714285714,579.2402319314285,25.71428571428571
81,42,Suburban,Regular,88,4.14,Afternoon,0,47,164.1074735,2.025,0.9047619047619048,300.6683353767857,83.21428571428571
80,56,Suburban,Gold,63,4.57,Night,1,43,213.696213,2.0,0.6785714285714286,341.91394080000003,60.00000000000002
64,19,Rural,Gold,86,4.68,Night,1,171,732.9893961,1.6,2.0,2345.56606752,220.00000000000003
45,18,Rural,Gold,68,4.07,Morning,0,136,350.6012026,1.125,2.111111111111111,832.6778561750001,137.50000000000003
84,49,Urban,Regular,32,4.25,Night,1,53,192.8798062,1.037037037037037,0.7755102040816326,160.01880218074072,-17.03703703703704
34,16,Urban,Silver,47,4.12,Evening,0,93,294.1158059,0.85,2.375,593.7462831606249,101.87499999999996
67,32,Suburban,Regular,40,4.47,Afternoon,1,13,82.52418775,1.675,1.1875,164.14576719648437,98.90625
93,23,Suburban,Silver,34,4.23,Evening,1,125,386.1690694,1.1481481481481481,1.6521739130434783,732.5397161887279,89.69404186795491
100,51,Urban,Silver,56,3.58,Night,0,89,310.9003273,1.2345679012345678,0.7450980392156863,307.062051654321,-1.2345679012345654
35,22,Suburban,Gold,15,4.23,Morning,1,120,373.9628407,0.875,1.7272727272727273,565.1938387852273,51.13636363636363
36,13,Rural,Silver,31,4.71,Night,0,71,221.5511001,0.9,2.923076923076923,582.8498171861539,163.07692307692312
28,18,Suburban,Regular,100,3.7,Afternoon,0,127,531.112701,0.7,2.111111111111111,896.9903394666668,68.88888888888891
21,9,Urban,Gold,10,3.88,Morning,1,108,324.9426389,0.525,1.2222222222222223,317.7216913688889,-2.222222222222221
26,15,Urban,Regular,35,5.0,Morning,1,161,493.4068923,0.65,2.533333333333333,999.9713017280001,102.66666666666669
97,21,Suburban,Regular,59,3.87,Evening,1,174,778.633356,1.1975308641975309,1.8095238095238095,1687.2678131781306,116.69606114050559
26,15,Urban,Silver,10,3.71,Morning,1,171,720.1572086,0.65,2.533333333333333,1459.5186094293335,102.6666666666667
91,56,Urban,Gold,17,4.66,Night,0,10,38.23523524,1.123456790123457,0.6785714285714286,34.36450772187655,-10.123456790123445
65,48,Rural,Silver,12,4.37,Afternoon,1,140,573.5891065,1.625,0.7916666666666666,745.66583845,30.000000000000014
88,28,Urban,Gold,22,4.99,Night,1,154,682.016247,1.0864197530864197,1.3571428571428572,1005.5830379047619,47.44268077601411
82,13,Suburban,Gold,32,3.58,Night,0,148,516.4367273,1.0123456790123457,2.923076923076923,1528.221122760494,195.9164292497626
65,40,Urban,Silver,48,3.59,Evening,0,121,492.5196024,1.625,0.95,760.327136205,54.37499999999999
41,6,Urban,Silver,56,4.32,Night,0,11,49.234784,1.025,1.8333333333333333,92.52036493333331,87.91666666666663
85,36,Rural,Silver,64,4.32,Evening,0,152,506.6928861,1.0493827160493827,1.0555555555555556,561.2544657417695,10.768175582990395
35,13,Rural,Silver,80,3.8,Afternoon,0,93,304.3133395,0.875,2.923076923076923,778.3398875673076,155.76923076923077
83,29,Urban,Silver,78,4.42,Afternoon,1,23,111.1793412,1.0246913580246915,1.3103448275862069,149.28039256909324,34.269902085994055
91,31,Urban,Regular,12,4.39,Night,0,39,163.2145833,1.123456790123457,1.2258064516129032,224.76942614551973,37.71405814416569
44,28,Rural,Regular,31,4.92,Night,1,132,402.8569895,1.1,1.3571428571428572,601.407934325,49.2857142857143
96,12,Suburban,Gold,15,4.97,Night,0,90,289.2351909,1.1851851851851851,3.1666666666666665,1085.5246670814815,275.3086419753086
77,46,Suburban,Regular,97,4.2,Afternoon,1,25,150.5392948,1.925,0.8260869565217391,239.39020466565216,59.02173913043478
91,80,Rural,Gold,74,4.74,Night,0,46,194.9355593,1.123456790123457,0.475,175.20134218567904,-10.12345679012344
93,42,Rural,Silver,75,4.66,Morning,0,160,674.6485036,1.1481481481481481,0.9047619047619048,700.825341482187,3.880070546737219
41,9,Rural,Silver,73,3.51,Morning,0,150,551.557234,1.025,1.2222222222222223,690.9786459277777,25.27777777777777
61,44,Suburban,Regular,69,4.54,Afternoon,0,52,132.2147646,1.525,0.8636363636363636,174.13285474022726,31.704545454545446
83,10,Urban,Gold,28,3.91,Afternoon,0,23,70.11182411,1.0246913580246915,1.1,79.02727828695063,12.716049382716072
59,22,Rural,Regular,79,4.38,Morning,1,93,346.2847096,1.475,1.7272727272727273,882.2389987763636,154.77272727272725
42,31,Suburban,Gold,62,4.95,Night,1,13,102.0447303,1.05,1.2258064516129032,131.34144319258064,28.70967741935484
81,16,Suburban,Regular,73,4.89,Night,0,125,494.1401793,2.025,2.375,2376.5054248209376,380.9375
72,19,Rural,Gold,89,4.74,Morning,1,45,183.6583147,1.8,2.0,661.1699329200001,260.0
43,9,Rural,Silver,2,4.12,Morning,0,126,436.5576476,1.075,1.2222222222222223,573.5882425411111,31.388888888888882
74,33,Urban,Silver,82,4.13,Afternoon,0,10,31.36208132,1.85,1.1515151515151516,66.81073687260607,113.03030303030306
68,45,Rural,Silver,65,4.19,Evening,0,112,323.4791093,1.7,0.8444444444444444,464.37223246177774,43.55555555555554
36,13,Urban,Silver,84,4.88,Evening,1,140,505.3840569,0.9,2.923076923076923,1329.5488266138461,163.07692307692307
51,5,Urban,Gold,0,4.59,Afternoon,1,92,320.8576216,1.275,2.2,900.0056285880001,180.50000000000003
63,23,Urban,Silver,48,4.09,Evening,0,49,214.5660524,1.575,1.6521739130434783,558.33818418,160.2173913043478
96,29,Urban,Regular,84,3.65,Night,0,176,758.5015334,1.1851851851851851,1.3103448275862069,1177.9538500822478,55.30012771392082
94,59,Suburban,Regular,84,4.38,Morning,1,175,665.7295341,1.1604938271604939,0.6440677966101694,618.0600119051852,-7.160493827160494
74,32,Suburban,Regular,2,4.7,Evening,1,38,171.0663629,1.85,1.1875,375.81141599593747,119.68749999999997
91,13,Rural,Silver,32,3.6,Morning,1,160,647.3526381,1.123456790123457,2.923076923076923,2125.874095488889,228.39506172839506
69,12,Suburban,Regular,42,4.34,Afternoon,1,158,608.12824,1.725,3.1666666666666665,3321.9005110000003,446.25000000000006
51,20,Rural,Silver,57,3.68,Night,0,67,246.9229249,1.275,1.9,598.17078557025,142.25
45,17,Rural,Gold,10,4.93,Night,1,148,430.0665305,1.125,2.235294117647059,1081.4908340514705,151.47058823529412
92,34,Suburban,Regular,98,3.99,Night,0,140,396.6387527,1.1358024691358024,1.1176470588235294,503.5036599270878,26.94262890341321
69,36,Suburban,Gold,55,4.74,Morning,0,109,436.0114486,1.725,1.0555555555555556,793.9041793258334,82.08333333333336
56,14,Suburban,Silver,30,3.67,Night,0,48,202.9454569,1.4,2.7142857142857144,771.19273622,280.0
43,26,Rural,Regular,59,4.91,Afternoon,0,175,731.7816872,1.075,1.4615384615384615,1149.7416123892306,57.11538461538459
86,48,Urban,Silver,37,4.15,Night,0,84,216.0505481,1.0617283950617284,0.7916666666666666,183.5096013491358,-15.06172839506172
61,34,Urban,Gold,82,3.99,Night,1,10,83.8683562,1.525,1.1176470588235294,142.9462129938235,70.44117647058822
50,36,Suburban,Gold,18,4.61,Night,0,145,572.2420493,1.25,1.0555555555555556,755.0415928263889,31.944444444444446
73,34,Urban,Regular,95,4.31,Morning,1,21,118.8070474,1.825,1.1176470588235294,242.3314334467647,103.9705882352941
76,7,Urban,Gold,76,4.35,Morning,0,72,245.8935712,1.9,1.5714285714285714,734.1679482971427,198.57142857142853
87,41,Urban,Regular,87,4.36,Night,0,87,387.1117403,1.0740740740740742,0.926829268292683,385.36326812158995,-0.4516711833784841
53,33,Rural,Regular,40,3.8,Morning,1,139,507.9505747,1.325,1.1515151515151516,775.0094374589395,52.5757575757576
71,8,Suburban,Silver,57,3.68,Night,0,75,249.3029746,1.775,1.375,608.455072383125,144.0625
32,5,Rural,Gold,80,3.55,Night,0,14,45.91711193,0.8,2.2,80.81411699680001,76.00000000000003
91,30,Suburban,Gold,34,3.69,Afternoon,0,96,424.6120578,1.123456790123457,1.2666666666666666,604.2421793713581,42.30452674897121
47,37,Suburban,Gold,64,3.75,Morning,0,31,85.9735753,1.175,1.027027027027027,103.74919289581081,20.67567567567568
23,13,Rural,Silver,42,4.55,Night,0,87,328.9669926,0.575,2.923076923076923,769.2766596184616,133.84615384615387
57,20,Rural,Regular,92,3.74,Morning,0,53,172.6294341,1.425,1.9,467.39419282575,170.74999999999997
48,17,Suburban,Silver,2,4.09,Evening,0,85,261.9435329,1.2,2.235294117647059,702.6250058964705,168.23529411764704
22,5,Urban,Gold,39,4.92,Evening,0,56,199.0416803,0.55,2.2,350.31335732800005,76.00000000000003
60,19,Urban,Silver,37,4.22,Evening,0,68,232.2834549,1.5,2.0,696.8503647,199.99999999999997
94,42,Rural,Regular,0,4.23,Morning,1,36,185.3118381,1.1604938271604939,0.9047619047619048,194.57198286102292,4.997060552616109
43,6,Suburban,Silver,34,4.4,Morning,1,24,153.7614397,1.075,1.8333333333333333,303.0381707420833,97.0833333333333
97,18,Suburban,Regular,53,4.25,Night,1,26,126.4771353,1.1975308641975309,2.111111111111111,319.74946551152266,152.81207133058987
47,17,Rural,Silver,7,4.8,Morning,0,173,609.5038276,1.175,2.235294117647059,1600.8438766082354,162.64705882352942
39,28,Urban,Silver,72,3.76,Afternoon,1,87,287.1624376,0.975,1.3571428571428572,379.9774397528571,32.32142857142857
50,39,Suburban,Regular,94,3.81,Evening,1,139,406.3248065,1.25,0.9743589743589743,494.8827771474359,21.79487179487179
35,17,Urban,Regular,78,4.4,Evening,1,61,249.0371127,0.875,2.235294117647059,487.087293957353,95.58823529411768
28,8,Suburban,Regular,69,3.86,Evening,1,175,620.9016916,0.7,1.375,682.9918607600001,10.000000000000012
51,32,Rural,Regular,98,4.44,Morning,1,51,267.0607017,1.275,1.1875,404.3465936676562,51.406249999999986
54,12,Suburban,Silver,84,4.98,Evening,1,172,715.7547931,1.35,3.1666666666666665,3059.8517405025004,327.50000000000006
65,10,Urban,Regular,77,4.36,Afternoon,0,170,430.3854879,1.625,1.1,769.3140596212501,78.75000000000001
61,26,Rural,Gold,21,3.85,Morning,1,126,604.273047,1.525,1.4615384615384615,1346.831656678846,122.88461538461534
46,9,Suburban,Silver,67,4.22,Evening,1,47,243.5250632,1.15,1.2222222222222223,342.2880054977778,40.555555555555564
73,50,Urban,Regular,7,4.22,Night,0,45,176.2144067,1.825,0.76,257.273033782,46.00000000000001
86,49,Urban,Regular,99,3.51,Night,0,130,471.4796321,1.0617283950617284,0.7755102040816326,400.4666504750617,-15.06172839506173
75,7,Suburban,Gold,100,4.13,Morning,0,134,453.3769494,1.875,1.5714285714285714,1335.8427973392857,194.6428571428571
39,29,Suburban,Silver,12,4.24,Evening,0,97,251.1073065,0.975,1.3103448275862069,320.8112312353448,27.75862068965516
33,6,Rural,Gold,90,4.81,Night,1,139,521.8019208,0.825,1.8333333333333333,789.2254052099998,51.249999999999986
40,29,Suburban,Silver,6,4.94,Night,1,71,346.4926515,1.0,1.3103448275862069,454.0248536896552,31.03448275862068
54,35,Suburban,Silver,66,4.4,Night,0,77,234.0714535,1.35,1.0857142857142856,343.08187327285714,46.57142857142858
53,26,Urban,Gold,54,4.6,Night,1,52,184.0244513,1.325,1.4615384615384615,356.3704278059615,93.65384615384613
81,34,Urban,Silver,98,3.55,Afternoon,1,164,554.8869659,2.025,1.1176470588235294,1255.839765470735,126.32352941176468
45,20,Urban,Regular,80,4.73,Morning,0,63,192.6197724,1.125,1.9,411.72476350499994,113.74999999999997
20,9,Urban,Silver,77,3.91,Evening,0,89,227.7965248,0.5,1.2222222222222223,222.73437980444444,-2.2222222222222165
47,22,Rural,Silver,11,4.8,Afternoon,1,119,416.601649,1.175,1.7272727272727273,845.5119830840911,102.9545454545455
33,18,Urban,Gold,90,3.61,Evening,1,146,671.7128294,0.825,2.111111111111111,1169.8998445383334,74.16666666666666
78,57,Rural,Silver,5,4.82,Morning,1,127,552.6397714,1.95,0.6666666666666666,862.118043384,56.00000000000001
26,12,Rural,Silver,9,3.75,Afternoon,0,115,321.3724051,0.65,3.1666666666666665,814.1434262533332,153.33333333333331
62,21,Rural,Regular,61,4.57,Night,0,56,215.4338699,1.55,1.8095238095238095,604.2407112909524,180.4761904761905
84,59,Suburban,Silver,67,4.27,Morning,1,164,758.9961232,1.037037037037037,0.6440677966101694,629.6856725807407,-17.03703703703704
49,8,Urban,Regular,1,4.06,Afternoon,1,157,694.4247149,1.225,1.375,1169.6716291596877,68.43750000000001
34,22,Suburban,Gold,34,3.64,Morning,0,176,617.3632185,0.85,1.7272727272727273,906.4014526159092,46.818181818181834
49,30,Rural,Silver,86,3.62,Afternoon,1,69,328.635369,1.225,1.2666666666666666,509.93254756500005,55.16666666666667
83,50,Rural,Regular,7,3.66,Evening,1,100,376.3000601,1.0246913580246915,0.76,308.4731356869136,-18.02469135802468
88,5,Urban,Silver,89,3.59,Night,0,27,70.20380337,1.0864197530864197,2.2,167.79575719051851,139.01234567901233
90,71,Suburban,Gold,88,3.84,Morning,0,167,451.684865,1.1111111111111112,0.5352112676056338,401.4976577777778,-11.111111111111102
65,5,Rural,Silver,24,3.54,Night,0,119,301.4039268,1.625,2.2,1077.51903831,257.5
73,28,Urban,Silver,22,4.57,Afternoon,0,53,153.3960711,1.825,1.3571428571428572,379.9291975280357,147.6785714285714
85,62,Suburban,Silver,54,3.78,Morning,0,114,339.6623042,1.0493827160493827,0.6129032258064516,285.14860105679014,-16.049382716049376
65,27,Rural,Gold,62,3.54,Night,1,162,733.4425367,1.625,1.4074074074074074,1677.4102459712965,128.70370370370372
74,42,Urban,Gold,88,3.5,Evening,0,77,203.836381,1.85,0.9047619047619048,341.18327581666665,67.38095238095238
41,7,Rural,Gold,68,4.3,Evening,1,66,284.5088586,1.025,1.5714285714285714,458.26248295928565,61.071428571428555
79,23,Urban,Gold,88,3.88,Night,0,164,492.1134584,1.975,1.6521739130434783,1605.7876109965218,226.30434782608694
